date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-12-12 22:25:42,BorisJohnson,,11481,14650,87288,"Thank you to everyone across our great country who voted, who volunteered, who stood as candidates. We live in the greatest democracy in the world.",,,,1205252415261421570,https://twitter.com/BorisJohnson/status/1205252415261421570
2019-12-12 20:10:17,BorisJohnson,,1919,974,6730,"Out campaigning in South Ruislip! Polls close at 10pm - vote Conservative to #GetBrexitDone ",,,#GetBrexitDone,1205218335358693377,https://twitter.com/BorisJohnson/status/1205218335358693377
2019-12-12 19:44:00,BorisJohnson,,1849,2452,19005,"Let’s not go back to the broken parliament we had before this election was called. Let’s move forward with a majority Conservative government that can get things done.",,,,1205211719343190016,https://twitter.com/BorisJohnson/status/1205211719343190016
2019-12-12 19:05:00,BorisJohnson,,1846,2483,21348,"Vote Conservative to get Brexit done! ",,,,1205201904499707904,https://twitter.com/BorisJohnson/status/1205201904499707904
2019-12-12 17:32:00,BorisJohnson,,1006,1633,7856,"You have until 10pm tonight to vote to get Brexit done!",,,,1205178500337942528,https://twitter.com/BorisJohnson/status/1205178500337942528
2019-12-12 17:07:00,BorisJohnson,,407,336,1776,"We will get Brexit done so that we can get on with delivering on your priorities.",,,,1205172208760324096,https://twitter.com/BorisJohnson/status/1205172208760324096
2019-12-12 16:30:00,BorisJohnson,,497,652,3249,"Vote Conservative TODAY to get Brexit done",,,,1205162898340876290,https://twitter.com/BorisJohnson/status/1205162898340876290
2019-12-12 16:02:00,BorisJohnson,,365,419,2100,"Today at the ballot box you have the opportunity to tell politicians that you want Brexit done. Vote Conservative.",,,,1205155851121524752,https://twitter.com/BorisJohnson/status/1205155851121524752
2019-12-12 15:10:00,BorisJohnson,,481,668,3275,"Let's get it done ",,,,1205142764628791297,https://twitter.com/BorisJohnson/status/1205142764628791297
2019-12-12 14:30:00,BorisJohnson,,1734,2309,16119,"We are a great country, and we can be greater still. Vote today to get Brexit done. Vote Conservative.",,,,1205132700417449985,https://twitter.com/BorisJohnson/status/1205132700417449985
2019-12-12 14:03:00,BorisJohnson,,383,429,2240,"Together we can get Brexit done.",,,,1205125904176996358,https://twitter.com/BorisJohnson/status/1205125904176996358
2019-12-12 13:40:00,BorisJohnson,,489,592,2929,"Back me to get Brexit done. Vote Conservative today.",,,,1205120115437686785,https://twitter.com/BorisJohnson/status/1205120115437686785
2019-12-12 13:16:00,BorisJohnson,,571,515,2681,"Let’s finally get Brexit done.",,,,1205114075811696640,https://twitter.com/BorisJohnson/status/1205114075811696640
2019-12-12 13:03:00,BorisJohnson,,1536,2116,14678,"Vote Conservative today to get Brexit done!",,,,1205110804405719041,https://twitter.com/BorisJohnson/status/1205110804405719041
2019-12-12 12:24:00,BorisJohnson,,613,800,3903,"Let’s get it done #VoteConservative",,,#VoteConservative,1205100989344169984,https://twitter.com/BorisJohnson/status/1205100989344169984
2019-12-12 12:20:00,BorisJohnson,,336,497,2191,"Back me to get Brexit done - vote Conservative TODAY.",,,,1205099982807810048,https://twitter.com/BorisJohnson/status/1205099982807810048
2019-12-12 11:04:00,BorisJohnson,,2085,1854,11987,"Vote to get Brexit done and unleash Britain’s potential. Vote Conservative.",,,,1205080857104568326,https://twitter.com/BorisJohnson/status/1205080857104568326
2019-12-12 10:41:39,BorisJohnson,BorisJohnson,393,693,4402,"#DogsAtPollingStations",,,#DogsAtPollingStations,1205075235172765696,https://twitter.com/BorisJohnson/status/1205075235172765696
2019-12-12 10:03:00,BorisJohnson,,989,1509,9089,"We must respect the result of the EU referendum. #VoteConservative",,,#VoteConservative,1205065506002104320,https://twitter.com/BorisJohnson/status/1205065506002104320
2019-12-12 09:59:04,BorisJohnson,,867,1522,7366,"Folks, today is the day. Vote Conservative to get Brexit done ",,,,1205064515404083200,https://twitter.com/BorisJohnson/status/1205064515404083200
2019-12-12 09:20:00,BorisJohnson,,335,408,1742,"Back me to get Brexit done. Vote Conservative today.",,,,1205054684433534977,https://twitter.com/BorisJohnson/status/1205054684433534977
2019-12-12 08:46:00,BorisJohnson,,1138,1601,6195,"This is what we’re going to do.",,,,1205046128070332417,https://twitter.com/BorisJohnson/status/1205046128070332417
2019-12-12 08:03:00,BorisJohnson,,543,690,2805,"This election is our chance to get Brexit done. Vote Conservative today.",,,,1205035306761605120,https://twitter.com/BorisJohnson/status/1205035306761605120
2019-12-12 07:30:00,BorisJohnson,,520,826,4109,"We will respect the result of the EU referendum.",,,,1205027001850970113,https://twitter.com/BorisJohnson/status/1205027001850970113
2019-12-12 07:02:00,BorisJohnson,,647,1147,4909,"Let’s get it done.",,,,1205019955445547009,https://twitter.com/BorisJohnson/status/1205019955445547009
2019-12-12 06:45:00,BorisJohnson,,3543,4614,28903,"Today is our chance to get Brexit done. Vote Conservative.",,,,1205015677272125442,https://twitter.com/BorisJohnson/status/1205015677272125442
2019-12-12 00:00:33,BorisJohnson,,492,758,2879,"The British Tamil community is one of many communities whose contribution make this country the best place in the world to live.",,,,1204913894331957249,https://twitter.com/BorisJohnson/status/1204913894331957249
2019-12-11 23:36:55,BorisJohnson,,942,1898,8156,"We’ve got 24 hours to break the deadlock in parliament. Let’s get Brexit done and take this incredible country forwards. Vote Conservative! ",,,,1204907949241589760,https://twitter.com/BorisJohnson/status/1204907949241589760
2019-12-11 21:20:00,BorisJohnson,,661,650,2629,"Back me to get Brexit done. Vote Conservative tomorrow.",,,,1204873490546991110,https://twitter.com/BorisJohnson/status/1204873490546991110
2019-12-11 21:11:52,BorisJohnson,,839,1170,5154,"Tomorrow, let’s unleash Britain’s potential! Vote Conservative to get Brexit done ",,,,1204871446004142083,https://twitter.com/BorisJohnson/status/1204871446004142083
2019-12-11 20:53:00,BorisJohnson,,788,1028,4183,"Back me to get Brexit done. Vote Conservative tomorrow.",,,,1204866695615205376,https://twitter.com/BorisJohnson/status/1204866695615205376
2019-12-11 20:09:33,BorisJohnson,,636,753,2664,"Join me live for our final campaign rally. TOMORROW: Vote Conservative to break the gridlock and get Brexit done!",,,,1204855764235350016,https://twitter.com/BorisJohnson/status/1204855764235350016
2019-12-11 20:03:00,BorisJohnson,,1599,2137,10682,"If there’s a Conservative majority government, we can deliver the change people voted for. We can get Brexit done. We can make a decisive break with the dither and indecision of the last three and a half years. We can unleash Britain’s potential.",,,,1204854112971571202,https://twitter.com/BorisJohnson/status/1204854112971571202
2019-12-11 19:32:00,BorisJohnson,,472,481,1977,"The only way for us to move forward now is to get Brexit done.",,,,1204846311528423426,https://twitter.com/BorisJohnson/status/1204846311528423426
2019-12-11 18:26:00,BorisJohnson,,482,396,1674,"Let’s get Brexit done and get to work on the things that matter to you.",,,,1204829701740515328,https://twitter.com/BorisJohnson/status/1204829701740515328
