date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-12-12 21:58:26,jeremycorbyn,,7261,9166,80764,"I promised @UKLabour would run the biggest people powered campaign our country has ever seen. And you, our members and supporters, have done just that. You're the heart of our party, and you have campaigned tirelessly to win so we can a build a fairer country. I thank you all.",,@UKLabour,,1205245549672386560,https://twitter.com/jeremycorbyn/status/1205245549672386560
2019-12-12 21:15:26,jeremycorbyn,,197,665,3006,"Get to your polling station before 10pm, and you can vote:",,,,1205234728342827011,https://twitter.com/jeremycorbyn/status/1205234728342827011
2019-12-12 21:04:02,jeremycorbyn,,188,863,2887,"Before 10pm tonight, if you haven't already: Vote for real change for you, your family, friends and community. Vote for a pay rise, a well-funded NHS, free education and childcare. #VoteLabourTodayً https://action.labour.org.uk/page/content/polling-station-finder",,,#VoteLabourToday,1205231862395932672,https://twitter.com/jeremycorbyn/status/1205231862395932672
2019-12-12 20:59:58,jeremycorbyn,,979,5422,30754,"Before 10pm: Vote to save our NHS Vote to save our planet Vote to save the future of our children Vote to save social care for our elderly Vote for hope.",,,,1205230839057002503,https://twitter.com/jeremycorbyn/status/1205230839057002503
2019-12-12 20:53:35,jeremycorbyn,,624,3094,14292,"You have just over an hour to save our NHS. #VoteLabourToday",,,#VoteLabourToday,1205229233448112128,https://twitter.com/jeremycorbyn/status/1205229233448112128
2019-12-12 20:46:07,jeremycorbyn,,661,4614,19310,"The power of the people is much stronger than the people in power. You have 1 hour left to change history. #VoteLabourToday",,,#VoteLabourToday,1205227350952165376,https://twitter.com/jeremycorbyn/status/1205227350952165376
2019-12-12 20:23:54,jeremycorbyn,,153,789,3838,"Less than 2 hours to go. Vote for them. #VoteLabourToday",,,#VoteLabourToday,1205221760838307846,https://twitter.com/jeremycorbyn/status/1205221760838307846
2019-12-12 20:18:23,jeremycorbyn,,203,2633,5782,"If you're in the queue before 10pm, you can still vote after polls close. There's still time. https://action.labour.org.uk/page/content/polling-station-finder",,,,1205220373299638274,https://twitter.com/jeremycorbyn/status/1205220373299638274
2019-12-12 20:06:59,jeremycorbyn,,2896,14985,92264,"It's been tough keeping it to myself and not making any comment at all, especially when the stories have been leaked, however I had to. Now I know for certain which individual is selling off our NHS. It's .............Boris Johnson. Ready to stop him? #VoteLabourToday",,,#VoteLabourToday,1205217503368101895,https://twitter.com/jeremycorbyn/status/1205217503368101895
2019-12-12 20:03:17,jeremycorbyn,jonbecker_,504,7079,54133,"Food banks shouldn't exist.",,,,1205216573570666496,https://twitter.com/jeremycorbyn/status/1205216573570666496
2019-12-12 19:57:24,jeremycorbyn,,160,1171,3098,"You don't need to bring your polling card to vote. You just need to turn up, before 10pm. https://action.labour.org.uk/page/content/polling-station-finder",,,,1205215093266538497,https://twitter.com/jeremycorbyn/status/1205215093266538497
2019-12-12 19:51:29,jeremycorbyn,,957,8844,35568,"You have until 10pm today to vote Labour and get rid of this zombie government. #ElectionDay2019",,,#ElectionDay2019,1205213602552197122,https://twitter.com/jeremycorbyn/status/1205213602552197122
2019-12-12 19:41:50,jeremycorbyn,,121,893,1894,"Remember you don't need to bring ID to vote. Just find your polling station by clicking the link below, and get there before 10pm. https://action.labour.org.uk/page/content/polling-station-finder",,,,1205211172875776000,https://twitter.com/jeremycorbyn/status/1205211172875776000
2019-12-12 19:37:10,jeremycorbyn,,302,1909,10508,"Our country is crying out for change. Vote Labour to make it happen. We’re listening.",,,,1205209999590526977,https://twitter.com/jeremycorbyn/status/1205209999590526977
2019-12-12 19:32:15,jeremycorbyn,,315,2460,11317,"You have until 10pm this evening to vote.",,,,1205208762002419712,https://twitter.com/jeremycorbyn/status/1205208762002419712
2019-12-12 19:30:07,jeremycorbyn,,159,1841,5473,"Nelson Mandela once said: “There can be no keener revelation of a society’s soul than the way in which it treats its children.” It's time to build a country which looks after all of our children, no matter where they're born. #ukelection",,,#ukelection,1205208225857101829,https://twitter.com/jeremycorbyn/status/1205208225857101829
2019-12-12 19:16:31,jeremycorbyn,,793,8479,57298,"|￣￣￣￣￣￣| | VOTE | | LABOUR | | TODAY | | | | ＿＿＿＿＿__| (\__/) || (•ㅅ•) || / づ",,,,1205204804760260608,https://twitter.com/jeremycorbyn/status/1205204804760260608
2019-12-12 19:11:39,jeremycorbyn,,104,857,3171,"Labour will ban fracking.",,,,1205203580422103040,https://twitter.com/jeremycorbyn/status/1205203580422103040
2019-12-12 19:04:53,jeremycorbyn,,1452,3965,23392,"If you’re a worker who is currently paid the minimum wage, with Labour you will get an immediate pay rise of between £3,444 and £5,986. #ElectionDay2019",,,#ElectionDay2019,1205201877861879808,https://twitter.com/jeremycorbyn/status/1205201877861879808
2019-12-12 18:56:03,jeremycorbyn,,218,2025,9019,"From the party that brought you the NHS. Now introducing: our plan to save it... Train more GPs to reduce waiting times Invest billions to modernise our hospitals and health facilities Restore the nurses' bursary Free prescriptions",,,,1205199653194682368,https://twitter.com/jeremycorbyn/status/1205199653194682368
2019-12-12 18:41:57,jeremycorbyn,,262,2983,16330,"",,,,1205196104612143106,https://twitter.com/jeremycorbyn/status/1205196104612143106
2019-12-12 18:37:10,jeremycorbyn,,90,801,3918,"Let's do this. #ElectionDay2019",,,#ElectionDay2019,1205194902860115976,https://twitter.com/jeremycorbyn/status/1205194902860115976
2019-12-12 18:27:02,jeremycorbyn,,141,1107,3000,"There's still time to vote to save our country's greatest institution, the NHS #VoteLabour",,,#VoteLabour,1205192352081596418,https://twitter.com/jeremycorbyn/status/1205192352081596418
2019-12-12 18:25:34,jeremycorbyn,,22,199,639,"Find your polling station:",,,,1205191983179927553,https://twitter.com/jeremycorbyn/status/1205191983179927553
2019-12-12 18:20:52,jeremycorbyn,,52,278,1069,"Find your polling station here: https://action.labour.org.uk/page/content/polling-station-finder",,,,1205190800684044288,https://twitter.com/jeremycorbyn/status/1205190800684044288
2019-12-12 18:15:45,jeremycorbyn,,838,4094,32116,"It’s time for free education for all.",,,,1205189510008647680,https://twitter.com/jeremycorbyn/status/1205189510008647680
2019-12-12 18:05:41,jeremycorbyn,,124,1258,3462,"End the cycle. Vote Labour today. #VotingLabour #ElectionDay2019",,,#VotingLabour #ElectionDay2019,1205186979811512320,https://twitter.com/jeremycorbyn/status/1205186979811512320
2019-12-12 17:53:28,jeremycorbyn,,96,954,3820,"Thank you for your powerful message @kScodders.",,@kScodders,,1205183903213985792,https://twitter.com/jeremycorbyn/status/1205183903213985792
2019-12-12 17:50:50,jeremycorbyn,,332,3659,15791,"President Franklin Roosevelt led the US out of the Great Depression. But he had to take on the rich and powerful to do it. He knew that when you’re serious about real change, the profiteers of a rigged system won’t give up without a fight. #ElectionDay2019",,,#ElectionDay2019,1205183240757231616,https://twitter.com/jeremycorbyn/status/1205183240757231616
2019-12-12 17:39:56,jeremycorbyn,,156,1308,3623,"You know it makes sense. #VoteLabourToday #ElectionDay2019 #ThursdayThoughts",,,#VoteLabourToday #ElectionDay2019 #ThursdayThoughts,1205180495916605440,https://twitter.com/jeremycorbyn/status/1205180495916605440
2019-12-12 17:34:57,jeremycorbyn,,218,2177,7309,"Mark is a lifelong Tory voter whose income puts him in the top 5%. But he’s voting Labour today, to save our NHS. #ElectionDay2019",,,#ElectionDay2019,1205179245561077763,https://twitter.com/jeremycorbyn/status/1205179245561077763
2019-12-12 17:23:41,jeremycorbyn,,1113,4629,35221,"Vote.",,,,1205176407833370625,https://twitter.com/jeremycorbyn/status/1205176407833370625
